RIL.SET,Plate.ID,Genotype,GermTrt,Rep,Dormancy,Total.Seeds,Germs.4wks
Bay x Sha,BSL22_A2,BSL_022,Above,2,D,20,7
Bay x Sha,BSL22_O2,BSL_022,Optimal,2,D,20,2
Bay x Sha,BSL22_C3,BSL_022,Cold,3,D,20,6
Bay x Sha,BSL22_A3,BSL_022,Above,3,D,20,18
Bay x Sha,BSL22_C2,BSL_022,Cold,2,D,20,0
Bay x Sha,BSL49_A2,BSL_049,Above,2,ND,20,3
Bay x Sha,BSL49_A1,BSL_049,Above,1,ND,20,10
Bay x Sha,BSL49_C1,BSL_049,Cold,1,ND,20,15
Bay x Sha,BSL49_O1,BSL_049,Optimal,1,ND,20,18
Bay x Sha,BSL49_C2,BSL_049,Cold,2,ND,21,9
Bay x Sha,BSL49_O2,BSL_049,Optimal,2,ND,20,4
Bay x Sha,BSL49_A3,BSL_049,Above,3,ND,20,8
Bay x Sha,BSL49_C3,BSL_049,Cold,3,ND,20,14
Bay x Sha,BSL49_O3,BSL_049,Optimal,3,ND,20,7
Bay x Sha,BSL55_A3,BSL_055,Above,3,D,20,6
Bay x Sha,BSL55_O3,BSL_055,Optimal,3,D,21,5
Bay x Sha,BSL55_C1,BSL_055,Cold,1,D,20,10
Bay x Sha,BSL55_A1,BSL_055,Above,1,D,20,1
Bay x Sha,BSL55_O1,BSL_055,Optimal,1,D,20,8
Bay x Sha,BSL55_A2,BSL_055,Above,2,D,19,1
Bay x Sha,BSL55_C2,BSL_055,Cold,2,D,20,8
Bay x Sha,BSL55_O2,BSL_055,Optimal,2,D,20,6
Bay x Sha,BSL55_C3,BSL_055,Cold,3,D,20,14
Bay x Sha,BSL74_C3,BSL_074,Cold,3,D,20,12
Bay x Sha,BSL74_C1,BSL_074,Cold,1,D,20,2
Bay x Sha,BSL74_O1,BSL_074,Optimal,1,D,20,3
Bay x Sha,BSL74_C2,BSL_074,Cold,2,D,20,1
Bay x Sha,BSL74_A1,BSL_074,Above,1,D,20,0
Bay x Sha,BSL74_A2,BSL_074,Above,2,D,20,0
Bay x Sha,BSL74_O2,BSL_074,Optimal,2,D,20,0
Bay x Sha,BSL74_A3,BSL_074,Above,3,D,20,0
Bay x Sha,BSL74_O3,BSL_074,Optimal,3,D,20,0
Bay x Sha,BSL94_A1,BSL_094,Above,1,ND,20,20
Bay x Sha,BSL94_C1,BSL_094,Cold,1,ND,20,16
Bay x Sha,BSL94_O1,BSL_094,Optimal,1,ND,20,20
Bay x Sha,BSL94_A2,BSL_094,Above,2,ND,19,1
Bay x Sha,BSL94_C2,BSL_094,Cold,2,ND,20,7
Bay x Sha,BSL94_O2,BSL_094,Optimal,2,ND,20,6
Bay x Sha,BSL94_A3,BSL_094,Above,3,ND,20,20
Bay x Sha,BSL94_C3,BSL_094,Cold,3,ND,20,14
Bay x Sha,BSL94_O3,BSL_094,Optimal,3,ND,20,11
Bay x Sha,BSL105_O1,BSL_105,Optimal,1,ND,20,19
